Generation,TotalOrganisms,AverageFitness,FitnessVariance,SelectedGenes,NeutralGenes,NeutralDiversity,SelectedDiversity
143,1000,1.017468,0.001423,3000,7000,0.000000,0.000000
144,1000,1.018021,0.001436,3000,7000,0.000000,0.000000
145,1000,1.017054,0.001453,3000,7000,0.000000,0.000000
146,1000,1.018700,0.001465,3000,7000,0.000000,0.000000
147,1000,1.017979,0.001381,3000,7000,0.000000,0.000000
148,1000,1.017873,0.001381,3000,7000,0.000000,0.000000
149,1000,1.017690,0.001407,3000,7000,0.000000,0.000000
150,1000,1.017504,0.001353,3000,7000,0.000000,0.000000
151,1000,1.017426,0.001254,3000,7000,0.000000,0.000000
152,1000,1.019273,0.001224,3000,7000,0.000000,0.000000
153,1000,1.019213,0.001239,3000,7000,0.000000,0.000000
154,1000,1.019924,0.001215,3000,7000,0.000000,0.000000
155,1000,1.019925,0.001170,3000,7000,0.000000,0.000000
156,1000,1.020633,0.001157,3000,7000,0.000000,0.000000
157,1000,1.021018,0.001190,3000,7000,0.000000,0.000000
158,1000,1.021188,0.001262,3000,7000,0.000000,0.000000
159,1000,1.022308,0.001292,3000,7000,0.000000,0.000000
160,1000,1.022766,0.001311,3000,7000,0.000000,0.000000
161,1000,1.022924,0.001351,3000,7000,0.000000,0.000000
162,1000,1.021882,0.001400,3000,7000,0.000000,0.000000
163,1000,1.022646,0.001432,3000,7000,0.000000,0.000000
164,1000,1.023865,0.001458,3000,7000,0.000000,0.000000
165,1000,1.022037,0.001398,3000,7000,0.000000,0.000000
166,1000,1.021706,0.001381,3000,7000,0.000000,0.000000
167,1000,1.022499,0.001385,3000,7000,0.000000,0.000000
168,1000,1.024496,0.001358,3000,7000,0.000000,0.000000
169,1000,1.024269,0.001285,3000,7000,0.000000,0.000000
170,1000,1.024223,0.001240,3000,7000,0.000000,0.000000
171,1000,1.023618,0.001270,3000,7000,0.000000,0.000000
172,1000,1.023935,0.001305,3000,7000,0.000000,0.000000
173,1000,1.023271,0.001291,3000,7000,0.000000,0.000000
174,1000,1.023226,0.001278,3000,7000,0.000000,0.000000
175,1000,1.022212,0.001206,3000,7000,0.000000,0.000000
176,1000,1.023918,0.001195,3000,7000,0.000000,0.000000
177,1000,1.023682,0.001164,3000,7000,0.000000,0.000000
178,1000,1.023804,0.001104,3000,7000,0.000000,0.000000
179,1000,1.023046,0.001126,3000,7000,0.000000,0.000000
180,1000,1.022463,0.001140,3000,7000,0.000000,0.000000
181,1000,1.022158,0.001146,3000,7000,0.000000,0.000000
182,1000,1.022382,0.001101,3000,7000,0.000000,0.000000
183,1000,1.022639,0.001089,3000,7000,0.000000,0.000000
184,1000,1.021430,0.001076,3000,7000,0.000000,0.000000
185,1000,1.021450,0.001089,3000,7000,0.000000,0.000000
186,1000,1.021283,0.001121,3000,7000,0.000000,0.000000
187,1000,1.020388,0.001120,3000,7000,0.000000,0.000000
188,1000,1.020241,0.001165,3000,7000,0.000000,0.000000
189,1000,1.020500,0.001142,3000,7000,0.000000,0.000000
190,1000,1.019435,0.001142,3000,7000,0.000000,0.000000
191,1000,1.018644,0.001164,3000,7000,0.000000,0.000000
192,1000,1.019394,0.001192,3000,7000,0.000000,0.000000
193,1000,1.019196,0.001270,3000,7000,0.000000,0.000000
194,1000,1.020251,0.001289,3000,7000,0.000000,0.000000
195,1000,1.020781,0.001261,3000,7000,0.000000,0.000000
196,1000,1.021054,0.001287,3000,7000,0.000000,0.000000
197,1000,1.021124,0.001270,3000,7000,0.000000,0.000000
198,1000,1.021315,0.001292,3000,7000,0.000000,0.000000
199,1000,1.021447,0.001365,3000,7000,0.000000,0.000000
200,1000,1.021630,0.001308,3000,7000,0.000000,0.000000
201,1000,1.021901,0.001290,3000,7000,0.000000,0.000000
202,1000,1.022672,0.001301,3000,7000,0.000000,0.000000
203,1000,1.022122,0.001209,3000,7000,0.000000,0.000000
204,1000,1.022331,0.001258,3000,7000,0.000000,0.000000
205,1000,1.022444,0.001267,3000,7000,0.000000,0.000000
206,1000,1.022471,0.001243,3000,7000,0.000000,0.000000
207,1000,1.021895,0.001198,3000,7000,0.000000,0.000000
208,1000,1.023667,0.001196,3000,7000,0.000000,0.000000
209,1000,1.023869,0.001149,3000,7000,0.000000,0.000000
210,1000,1.023813,0.001225,3000,7000,0.000000,0.000000
211,1000,1.023623,0.001183,3000,7000,0.000000,0.000000
212,1000,1.024579,0.001182,3000,7000,0.000000,0.000000
213,1000,1.025196,0.001248,3000,7000,0.000000,0.000000
214,1000,1.025206,0.001282,3000,7000,0.000000,0.000000
215,1000,1.025858,0.001307,3000,7000,0.000000,0.000000
216,1000,1.025754,0.001291,3000,7000,0.000000,0.000000
217,1000,1.025961,0.001284,3000,7000,0.000000,0.000000
218,1000,1.024884,0.001301,3000,7000,0.000000,0.000000
219,1000,1.026989,0.001346,3000,7000,0.000000,0.000000
220,1000,1.026858,0.001354,3000,7000,0.000000,0.000000
221,1000,1.026572,0.001286,3000,7000,0.000000,0.000000
222,1000,1.027961,0.001249,3000,7000,0.000000,0.000000
223,1000,1.028042,0.001207,3000,7000,0.000000,0.000000
224,1000,1.027144,0.001163,3000,7000,0.000000,0.000000
225,1000,1.026252,0.001140,3000,7000,0.000000,0.000000
226,1000,1.025867,0.001191,3000,7000,0.000000,0.000000
227,1000,1.024042,0.001179,3000,7000,0.000000,0.000000
228,1000,1.023559,0.001222,3000,7000,0.000000,0.000000
229,1000,1.023550,0.001277,3000,7000,0.000000,0.000000
230,1000,1.023991,0.001260,3000,7000,0.000000,0.000000
231,1000,1.023150,0.001186,3000,7000,0.000000,0.000000
232,1000,1.023025,0.001235,3000,7000,0.000000,0.000000
233,1000,1.024378,0.001222,3000,7000,0.000000,0.000000
234,1000,1.023064,0.001206,3000,7000,0.000000,0.000000
235,1000,1.023610,0.001166,3000,7000,0.000000,0.000000
236,1000,1.024345,0.001115,3000,7000,0.000000,0.000000
237,1000,1.023774,0.001085,3000,7000,0.000000,0.000000
238,1000,1.023016,0.001061,3000,7000,0.000000,0.000000
239,1000,1.022100,0.001085,3000,7000,0.000000,0.000000
240,1000,1.021976,0.001081,3000,7000,0.000000,0.000000
241,1000,1.021825,0.001146,3000,7000,0.000000,0.000000
242,1000,1.022218,0.001163,3000,7000,0.000000,0.000000
243,1000,1.020579,0.001145,3000,7000,0.000000,0.000000
244,1000,1.020837,0.001142,3000,7000,0.000000,0.000000
245,1000,1.020803,0.001120,3000,7000,0.000000,0.000000
246,1000,1.021052,0.001100,3000,7000,0.000000,0.000000
247,1000,1.020821,0.001041,3000,7000,0.000000,0.000000
248,1000,1.021208,0.001030,3000,7000,0.000000,0.000000
249,1000,1.020636,0.001051,3000,7000,0.000000,0.000000
250,1000,1.021408,0.001027,3000,7000,0.000000,0.000000
251,1000,1.020413,0.001027,3000,7000,0.000000,0.000000
252,1000,1.020500,0.001039,3000,7000,0.000000,0.000000
253,1000,1.020106,0.001007,3000,7000,0.000000,0.000000
254,1000,1.021113,0.000982,3000,7000,0.000000,0.000000
255,1000,1.022664,0.001022,3000,7000,0.000000,0.000000
256,1000,1.022728,0.001054,3000,7000,0.000000,0.000000
257,1000,1.022744,0.001074,3000,7000,0.000000,0.000000
258,1000,1.021728,0.001026,3000,7000,0.000000,0.000000
259,1000,1.021199,0.001051,3000,7000,0.000000,0.000000
260,1000,1.020468,0.001074,3000,7000,0.000000,0.000000
261,1000,1.020575,0.001075,3000,7000,0.000000,0.000000
262,1000,1.019650,0.001063,3000,7000,0.000000,0.000000
263,1000,1.019420,0.001025,3000,7000,0.000000,0.000000
264,1000,1.019928,0.001003,3000,7000,0.000000,0.000000
265,1000,1.020030,0.001039,3000,7000,0.000000,0.000000
266,1000,1.019477,0.001008,3000,7000,0.000000,0.000000
267,1000,1.020147,0.001018,3000,7000,0.000000,0.000000
268,1000,1.020600,0.001044,3000,7000,0.000000,0.000000
269,1000,1.022257,0.001113,3000,7000,0.000000,0.000000
270,1000,1.024187,0.001076,3000,7000,0.000000,0.000000
271,1000,1.025154,0.001091,3000,7000,0.000000,0.000000
272,1000,1.025161,0.001095,3000,7000,0.000000,0.000000
273,1000,1.025536,0.001100,3000,7000,0.000000,0.000000
274,1000,1.025041,0.001121,3000,7000,0.000000,0.000000
275,1000,1.024113,0.001078,3000,7000,0.000000,0.000000
276,1000,1.025407,0.001087,3000,7000,0.000000,0.000000
277,1000,1.025094,0.001087,3000,7000,0.000000,0.000000
278,1000,1.025539,0.001064,3000,7000,0.000000,0.000000
279,1000,1.024789,0.001037,3000,7000,0.000000,0.000000
280,1000,1.024887,0.001035,3000,7000,0.000000,0.000000
281,1000,1.024972,0.001026,3000,7000,0.000000,0.000000
282,1000,1.024069,0.001053,3000,7000,0.000000,0.000000
283,1000,1.024675,0.001110,3000,7000,0.000000,0.000000
284,1000,1.025618,0.001172,3000,7000,0.000000,0.000000
285,1000,1.026160,0.001151,3000,7000,0.000000,0.000000
286,1000,1.026866,0.001135,3000,7000,0.000000,0.000000
287,1000,1.026350,0.001165,3000,7000,0.000000,0.000000
288,1000,1.026543,0.001216,3000,7000,0.000000,0.000000
289,1000,1.026872,0.001229,3000,7000,0.000000,0.000000
